account_id,district_id,frequency,date,Account_type,,Card_Assigned,,
1573,63,MONTHLY ISSUANCE,2021-12-29,Savings account,,SILVER,,
3276,1,MONTHLY ISSUANCE,2021-12-30,Salary account,,SILVER,,
124,55,MONTHLY ISSUANCE,2021-12-31,Salary account,,SILVER,,
3958,59,MONTHLY ISSUANCE,2022-01-01,NRI account,,SILVER,,
777,30,MONTHLY ISSUANCE,2022-01-02,Savings account,,SILVER,,
3025,25,MONTHLY ISSUANCE,2022-01-03,Salary account,,SILVER,,
906,59,MONTHLY ISSUANCE,2022-01-04,NRI account,,SILVER,,
845,14,MONTHLY ISSUANCE,2022-01-05,Savings account,,SILVER,,
3048,74,WEEKLY ISUANCE,2022-01-06,Salary account,,DIAMOND,,
1983,54,MONTHLY ISSUANCE,2022-01-07,NRI account,,SILVER,,
727,35,MONTHLY ISSUANCE,2022-01-08,NRI account,,SILVER,,
4332,74,MONTHLY ISSUANCE,2022-01-09,NRI account,,SILVER,,
564,5,MONTHLY ISSUANCE,2022-01-10,NRI account,,SILVER,,
3934,6,MONTHLY ISSUANCE,2022-01-11,NRI account,,SILVER,,
1318,56,MONTHLY ISSUANCE,2022-01-12,Salary account,,SILVER,,
889,43,MONTHLY ISSUANCE,2022-01-13,NRI account,,SILVER,,
3385,1,MONTHLY ISSUANCE,2022-01-14,Salary account,,SILVER,,
703,54,MONTHLY ISSUANCE,2022-01-15,Savings account,,SILVER,,
1177,27,MONTHLY ISSUANCE,2022-01-16,Salary account,,SILVER,,
246,65,MONTHLY ISSUANCE,2022-01-17,Salary account,,SILVER,,
1171,18,MONTHLY ISSUANCE,2022-01-18,NRI account,,SILVER,,
3187,59,MONTHLY ISSUANCE,2022-01-19,Salary account,,SILVER,,
2791,25,MONTHLY ISSUANCE,2022-01-20,Savings account,,SILVER,,
3169,19,MONTHLY ISSUANCE,2022-01-21,Savings account,,SILVER,,
2049,67,MONTHLY ISSUANCE,2022-01-22,Savings account,,SILVER,,
758,51,MONTHLY ISSUANCE,2022-01-23,Salary account,,SILVER,,
2440,19,MONTHLY ISSUANCE,2022-01-24,NRI account,,SILVER,,
1186,64,MONTHLY ISSUANCE,2022-01-25,NRI account,,SILVER,,
3911,32,MONTHLY ISSUANCE,2022-01-26,Salary account,,SILVER,,
3992,43,MONTHLY ISSUANCE,2022-01-27,Savings account,,SILVER,,
579,1,MONTHLY ISSUANCE,2022-01-28,NRI account,,SILVER,,
2892,64,MONTHLY ISSUANCE,2022-01-29,Savings account,,SILVER,,
3616,50,MONTHLY ISSUANCE,2022-01-30,NRI account,,SILVER,,
938,70,MONTHLY ISSUANCE,2022-01-31,Savings account,,SILVER,,
3501,36,MONTHLY ISSUANCE,2022-02-01,Salary account,,SILVER,,
2820,36,MONTHLY ISSUANCE,2022-02-02,NRI account,,SILVER,,
3033,69,MONTHLY ISSUANCE,2022-02-03,NRI account,,SILVER,,
3174,65,MONTHLY ISSUANCE,2022-02-04,Savings account,,SILVER,,
134,34,MONTHLY ISSUANCE,2022-02-05,Salary account,,SILVER,,
1229,46,MONTHLY ISSUANCE,2022-02-06,Salary account,,SILVER,,
3209,45,MONTHLY ISSUANCE,2022-02-07,Salary account,,SILVER,,
1072,65,MONTHLY ISSUANCE,2022-02-08,NRI account,,SILVER,,
1156,59,MONTHLY ISSUANCE,2022-02-09,Salary account,,SILVER,,
3836,68,MONTHLY ISSUANCE,2022-02-10,Salary account,,SILVER,,
3013,73,MONTHLY ISSUANCE,2022-02-11,NRI account,,SILVER,,
673,31,MONTHLY ISSUANCE,2022-02-12,Savings account,,SILVER,,
3406,53,MONTHLY ISSUANCE,2022-02-13,Salary account,,SILVER,,
2796,5,WEEKLY ISUANCE,2022-02-14,Salary account,,DIAMOND,,
2775,30,MONTHLY ISSUANCE,2022-02-15,Savings account,,SILVER,,
276,38,MONTHLY ISSUANCE,2022-02-16,Savings account,,SILVER,,
315,45,MONTHLY ISSUANCE,2022-02-17,NRI account,,SILVER,,
3722,76,MONTHLY ISSUANCE,2022-02-18,Salary account,,SILVER,,
736,75,MONTHLY ISSUANCE,2022-02-19,Salary account,,SILVER,,
2787,1,MONTHLY ISSUANCE,2022-02-20,NRI account,,SILVER,,
21,54,MONTHLY ISSUANCE,2022-02-21,Salary account,,SILVER,,
1650,39,MONTHLY ISSUANCE,2022-02-22,Savings account,,SILVER,,
800,11,MONTHLY ISSUANCE,2022-02-23,Savings account,,SILVER,,
3415,75,MONTHLY ISSUANCE,2022-02-24,NRI account,,SILVER,,
2918,15,ISSUANCE AFTER A TRANSACTION,2022-02-25,NRI account,,GOLD,,
4140,28,MONTHLY ISSUANCE,2022-02-26,NRI account,,SILVER,,
1960,31,MONTHLY ISSUANCE,2022-02-27,NRI account,,SILVER,,
1049,18,MONTHLY ISSUANCE,2022-02-28,NRI account,,SILVER,,
298,35,MONTHLY ISSUANCE,2022-03-01,Savings account,,SILVER,,
1717,67,MONTHLY ISSUANCE,2022-03-02,NRI account,,SILVER,,
10005,64,MONTHLY ISSUANCE,2022-03-03,Salary account,,SILVER,,
4386,51,WEEKLY ISUANCE,2022-03-04,Salary account,,DIAMOND,,
1868,16,WEEKLY ISUANCE,2022-03-05,Savings account,,DIAMOND,,
232,45,MONTHLY ISSUANCE,2022-03-06,Savings account,,SILVER,,
1798,46,MONTHLY ISSUANCE,2022-03-07,Savings account,,SILVER,,
421,75,MONTHLY ISSUANCE,2022-03-08,NRI account,,SILVER,,
3715,74,MONTHLY ISSUANCE,2022-03-09,Savings account,,SILVER,,
934,9,MONTHLY ISSUANCE,2022-03-10,Savings account,,SILVER,,
3333,44,MONTHLY ISSUANCE,2022-03-11,Salary account,,SILVER,,
215,31,MONTHLY ISSUANCE,2022-03-12,Salary account,,SILVER,,
1523,52,ISSUANCE AFTER A TRANSACTION,2022-03-13,NRI account,,GOLD,,
3102,33,MONTHLY ISSUANCE,2022-03-14,Savings account,,SILVER,,
295,66,MONTHLY ISSUANCE,2022-03-15,NRI account,,SILVER,,
2979,10,MONTHLY ISSUANCE,2022-03-16,Savings account,,SILVER,,
2850,57,MONTHLY ISSUANCE,2022-03-17,Savings account,,SILVER,,
2832,12,MONTHLY ISSUANCE,2022-03-18,Salary account,,SILVER,,
3105,37,MONTHLY ISSUANCE,2022-03-19,Savings account,,SILVER,,
2162,50,MONTHLY ISSUANCE,2022-03-20,NRI account,,SILVER,,
1125,1,WEEKLY ISUANCE,2022-03-21,Savings account,,DIAMOND,,
3382,23,WEEKLY ISUANCE,2022-03-22,Savings account,,DIAMOND,,
2125,43,WEEKLY ISUANCE,2022-03-23,NRI account,,DIAMOND,,
3396,1,MONTHLY ISSUANCE,2022-03-24,Salary account,,SILVER,,
3365,11,MONTHLY ISSUANCE,2022-03-25,Savings account,,SILVER,,
2693,17,MONTHLY ISSUANCE,2022-03-26,NRI account,,SILVER,,
1866,4,MONTHLY ISSUANCE,2022-03-27,Savings account,,SILVER,,
149,43,MONTHLY ISSUANCE,2022-03-28,NRI account,,SILVER,,
3082,33,MONTHLY ISSUANCE,2022-03-29,NRI account,,SILVER,,
3156,1,ISSUANCE AFTER A TRANSACTION,2022-03-30,Salary account,,GOLD,,
2438,71,MONTHLY ISSUANCE,2022-03-31,Salary account,,SILVER,,
1833,54,MONTHLY ISSUANCE,2022-04-01,Salary account,,SILVER,,
2221,58,MONTHLY ISSUANCE,2022-04-02,NRI account,,SILVER,,
2658,27,MONTHLY ISSUANCE,2022-04-03,Salary account,,SILVER,,
2721,74,MONTHLY ISSUANCE,2022-04-04,NRI account,,SILVER,,
2920,73,MONTHLY ISSUANCE,2022-04-05,Savings account,,SILVER,,
566,8,MONTHLY ISSUANCE,2022-04-06,Savings account,,SILVER,,
1245,68,MONTHLY ISSUANCE,2022-04-07,NRI account,,SILVER,,
1348,55,MONTHLY ISSUANCE,2022-04-08,Savings account,,SILVER,,
3423,11,MONTHLY ISSUANCE,2022-04-09,Salary account,,SILVER,,
2831,1,MONTHLY ISSUANCE,2022-04-10,Savings account,,SILVER,,
2211,61,ISSUANCE AFTER A TRANSACTION,2022-04-11,Salary account,,GOLD,,
3360,71,MONTHLY ISSUANCE,2022-04-12,Salary account,,SILVER,,
952,41,MONTHLY ISSUANCE,2022-04-13,Savings account,,SILVER,,
696,54,MONTHLY ISSUANCE,2022-04-14,NRI account,,SILVER,,
2998,21,MONTHLY ISSUANCE,2022-04-15,Salary account,,SILVER,,
867,60,MONTHLY ISSUANCE,2022-04-16,NRI account,,SILVER,,
1208,4,MONTHLY ISSUANCE,2022-04-17,Savings account,,SILVER,,
2391,2,MONTHLY ISSUANCE,2022-04-18,NRI account,,SILVER,,
1140,49,MONTHLY ISSUANCE,2022-04-19,Salary account,,SILVER,,
644,4,MONTHLY ISSUANCE,2022-04-20,NRI account,,SILVER,,
2402,18,MONTHLY ISSUANCE,2022-04-21,NRI account,,SILVER,,
3395,16,MONTHLY ISSUANCE,2022-04-22,NRI account,,SILVER,,
2296,29,MONTHLY ISSUANCE,2022-04-23,Savings account,,SILVER,,
10613,55,MONTHLY ISSUANCE,2022-04-24,Salary account,,SILVER,,
606,75,MONTHLY ISSUANCE,2022-04-25,NRI account,,SILVER,,
9227,51,MONTHLY ISSUANCE,2022-04-26,NRI account,,SILVER,,
1723,70,MONTHLY ISSUANCE,2022-04-27,Salary account,,SILVER,,
3404,33,MONTHLY ISSUANCE,2022-04-28,Savings account,,SILVER,,
1657,12,MONTHLY ISSUANCE,2022-04-29,Salary account,,SILVER,,
639,1,MONTHLY ISSUANCE,2022-04-30,NRI account,,SILVER,,
3325,11,MONTHLY ISSUANCE,2022-05-01,NRI account,,SILVER,,
1703,72,MONTHLY ISSUANCE,2022-05-02,Savings account,,SILVER,,
3598,76,MONTHLY ISSUANCE,2022-05-03,Savings account,,SILVER,,
782,42,MONTHLY ISSUANCE,2022-05-04,Salary account,,SILVER,,
2784,40,MONTHLY ISSUANCE,2022-05-05,NRI account,,SILVER,,
671,60,MONTHLY ISSUANCE,2022-05-06,Salary account,,SILVER,,
643,64,MONTHLY ISSUANCE,2022-05-07,Savings account,,SILVER,,
1340,52,MONTHLY ISSUANCE,2022-05-08,NRI account,,SILVER,,
2703,61,MONTHLY ISSUANCE,2022-05-09,Savings account,,SILVER,,
2413,33,MONTHLY ISSUANCE,2022-05-10,Savings account,,SILVER,,
3963,9,MONTHLY ISSUANCE,2022-05-11,Salary account,,SILVER,,
876,4,MONTHLY ISSUANCE,2022-05-12,Salary account,,SILVER,,
1172,6,MONTHLY ISSUANCE,2022-05-13,Savings account,,SILVER,,
398,69,MONTHLY ISSUANCE,2022-05-14,NRI account,,SILVER,,
2174,18,MONTHLY ISSUANCE,2022-05-15,Savings account,,SILVER,,
3705,20,MONTHLY ISSUANCE,2022-05-16,Salary account,,SILVER,,
1209,23,MONTHLY ISSUANCE,2022-05-17,NRI account,,SILVER,,
2371,15,WEEKLY ISUANCE,2022-05-18,Salary account,,DIAMOND,,
852,57,MONTHLY ISSUANCE,2022-05-19,Savings account,,SILVER,,
2152,22,MONTHLY ISSUANCE,2022-05-20,Savings account,,SILVER,,
3857,54,MONTHLY ISSUANCE,2022-05-21,Salary account,,SILVER,,
156,64,MONTHLY ISSUANCE,2022-05-22,Savings account,,SILVER,,
3922,68,MONTHLY ISSUANCE,2022-05-23,NRI account,,SILVER,,
2910,68,MONTHLY ISSUANCE,2022-05-24,NRI account,,SILVER,,
2756,24,MONTHLY ISSUANCE,2022-05-25,Savings account,,SILVER,,
1572,72,MONTHLY ISSUANCE,2022-05-26,NRI account,,SILVER,,
1615,1,MONTHLY ISSUANCE,2022-05-27,Salary account,,SILVER,,
2311,28,MONTHLY ISSUANCE,2022-05-28,NRI account,,SILVER,,
2556,46,MONTHLY ISSUANCE,2022-05-29,Savings account,,SILVER,,
961,1,MONTHLY ISSUANCE,2022-05-30,Savings account,,SILVER,,
2579,24,MONTHLY ISSUANCE,2022-05-31,Savings account,,SILVER,,
3919,34,MONTHLY ISSUANCE,2022-06-01,NRI account,,SILVER,,
3875,44,MONTHLY ISSUANCE,2022-06-02,NRI account,,SILVER,,
550,24,MONTHLY ISSUANCE,2022-06-03,Savings account,,SILVER,,
3324,3,MONTHLY ISSUANCE,2022-06-04,Salary account,,SILVER,,
1061,44,MONTHLY ISSUANCE,2022-06-05,Salary account,,SILVER,,
2215,48,MONTHLY ISSUANCE,2022-06-06,Salary account,,SILVER,,
2053,5,MONTHLY ISSUANCE,2022-06-07,NRI account,,SILVER,,
3561,33,MONTHLY ISSUANCE,2022-06-08,Salary account,,SILVER,,
1807,21,MONTHLY ISSUANCE,2022-06-09,NRI account,,SILVER,,
11327,7,MONTHLY ISSUANCE,2022-06-10,NRI account,,SILVER,,
2231,2,MONTHLY ISSUANCE,2022-06-11,Salary account,,SILVER,,
966,15,MONTHLY ISSUANCE,2022-06-12,Salary account,,SILVER,,
1968,16,WEEKLY ISUANCE,2022-06-13,NRI account,,DIAMOND,,
2879,15,MONTHLY ISSUANCE,2022-06-14,NRI account,,SILVER,,
3023,35,MONTHLY ISSUANCE,2022-06-15,Savings account,,SILVER,,
1279,28,MONTHLY ISSUANCE,2022-06-16,NRI account,,SILVER,,
502,1,MONTHLY ISSUANCE,2022-06-17,Salary account,,SILVER,,
1506,51,MONTHLY ISSUANCE,2022-06-18,Savings account,,SILVER,,
5708,64,WEEKLY ISUANCE,2022-06-19,NRI account,,DIAMOND,,
7049,69,MONTHLY ISSUANCE,2022-06-20,NRI account,,SILVER,,
121,55,MONTHLY ISSUANCE,2022-06-21,NRI account,,SILVER,,
1727,9,MONTHLY ISSUANCE,2022-06-22,Savings account,,SILVER,,
2097,46,MONTHLY ISSUANCE,2022-06-23,Savings account,,SILVER,,
133,64,WEEKLY ISUANCE,2022-06-24,Savings account,,DIAMOND,,
2897,51,MONTHLY ISSUANCE,2022-06-25,Savings account,,SILVER,,
745,43,MONTHLY ISSUANCE,2022-06-26,Salary account,,SILVER,,
3813,1,MONTHLY ISSUANCE,2022-06-27,NRI account,,SILVER,,
